,city,lat,Lng,Max Temp,Date,Country,Wind speed,Humidity,Cloudiness
0,mataura,-46.19,168.86,43.04,1535147337,NZ,11.77,84,76
1,dunedin,-45.87,170.5,40.43,1535147337,NZ,15.46,85,12
2,winnemucca,40.97,-117.74,87.98,1535144160,US,17.22,4,1
3,hermanus,-34.42,19.24,42.32,1535147338,ZA,2.04,92,8
4,sao gabriel da cachoeira,-0.13,-67.09,88.22,1535147338,BR,1.59,59,12
5,codrington,-28.95,153.24,50.51,1535147338,AU,3.6,99,56
6,thompson,55.74,-97.86,55.4,1535144400,CA,3.36,43,90
7,port macquarie,-31.43,152.91,50.0,1535144400,AU,7.07,93,64
8,sulangan,11.14,123.72,83.63,1535147340,PH,15.9,100,48
9,atuona,-9.8,-139.03,79.31,1535147340,PF,14.34,100,0
10,dikson,73.51,80.55,52.31,1535147340,RU,13.0,83,48
11,busselton,-33.64,115.35,52.31,1535147341,AU,6.06,100,36
12,sorland,67.67,12.69,50.0,1535142000,NO,2.24,93,75
13,tanhacu,-14.02,-41.25,74.72,1535147342,BR,8.63,54,0
14,waipawa,-39.94,176.59,45.02,1535147342,NZ,11.21,85,0
15,castro,-42.48,-73.76,42.59,1535147343,CL,9.98,100,92
16,vanderhoof,54.02,-124.02,62.75,1535147343,CA,4.16,54,0
17,qaanaaq,77.48,-69.36,37.28,1535147343,GL,6.29,95,0
18,vaini,15.34,74.49,67.88,1535147344,IN,4.83,99,92
19,tiksi,71.64,128.87,42.59,1535147344,RU,5.28,100,88
20,katsuura,33.93,134.5,80.6,1535145600,JP,6.93,83,40
21,ribeira grande,38.52,-28.7,76.25,1535147344,PT,8.19,99,80
22,arraial do cabo,-22.97,-42.02,75.2,1535144400,BR,20.8,78,0
23,kambove,-10.88,26.6,63.38,1535147345,CD,5.39,50,0
24,russell,-33.01,-68.8,57.2,1535144400,AR,11.41,48,0
25,tasiilaq,65.61,-37.64,39.2,1535143800,GL,12.75,86,68
26,bluff,-23.58,149.07,54.83,1535147346,AU,4.05,85,64
27,morococha,-11.61,-76.13,44.48,1535147347,PE,5.39,72,76
28,meulaboh,4.14,96.13,77.69,1535147347,ID,2.71,100,0
29,newport,51.59,-3.0,50.0,1535145600,GB,11.41,93,12
30,la algaba,37.46,-6.01,84.2,1535146200,ES,3.36,45,0
31,punta arenas,-53.16,-70.91,41.0,1535144400,CL,9.17,65,75
32,ghorawal,24.75,82.78,74.09,1535147349,IN,7.96,97,92
33,chokurdakh,70.62,147.9,37.46,1535147349,RU,9.19,91,80
34,margate,-43.03,147.26,46.4,1535146200,AU,13.87,70,0
35,paamiut,61.99,-49.67,44.3,1535147349,GL,40.06,91,92
36,east london,-33.02,27.91,68.6,1535147178,ZA,24.52,96,0
37,hambantota,6.12,81.12,79.58,1535147350,LK,16.58,100,12
38,sitka,37.17,-99.65,90.29,1535147350,US,2.48,75,32
39,namibe,-15.19,12.15,65.36,1535147350,AO,7.18,100,0
40,at-bashi,41.17,75.81,33.77,1535147351,KG,1.03,81,0
41,saravan,39.72,45.65,75.2,1535144400,AM,11.41,36,0
42,saint-philippe,45.36,-73.48,84.2,1535145300,CA,10.29,35,1
43,santa rosa,-36.62,-64.29,56.09,1535147353,AR,8.63,34,12
44,wewak,-3.55,143.63,74.18,1535147354,PG,2.48,100,68
45,parfenyevo,58.48,43.41,59.42,1535147354,RU,2.82,88,0
46,presidencia roque saenz pena,-26.79,-60.44,63.56,1535147354,AR,22.28,40,0
47,cape town,-33.93,18.42,53.3,1535147182,ZA,4.16,100,0
48,fukue,35.03,136.69,80.6,1535144400,JP,3.36,88,75
49,mutare,-18.97,32.67,62.66,1535147355,MZ,7.96,80,0
50,grinnell,41.74,-92.72,80.6,1535145300,US,6.93,87,90
51,komsomolskiy,67.55,63.78,51.68,1535147356,RU,14.45,100,100
52,barrow,-38.31,-60.23,48.44,1535147330,AR,16.69,54,0
53,cidreira,-30.17,-50.22,64.19,1535147356,BR,11.77,96,92
54,tuktoyaktuk,69.44,-133.03,46.4,1535144400,CA,2.24,70,75
55,tura,25.52,90.21,74.63,1535147357,IN,2.93,97,56
56,rikitea,-23.12,-134.97,69.5,1535147357,PF,11.65,100,48
57,hobart,-42.88,147.33,46.4,1535146200,AU,13.87,70,0
58,norman wells,65.28,-126.83,57.2,1535144400,CA,12.75,67,20
59,port-gentil,-0.72,8.78,77.0,1535144400,GA,8.05,88,40
60,yar-sale,66.83,70.83,56.36,1535147358,RU,4.27,89,8
61,avarua,-21.21,-159.78,78.8,1535144400,CK,3.36,78,75
62,jamestown,-33.21,138.6,36.38,1535147359,AU,4.72,81,0
63,matamoros,25.87,-97.51,96.98,1535143980,US,17.22,46,90
64,puerto ayora,-0.74,-90.35,77.0,1535144400,EC,5.82,65,75
65,sola,58.89,5.65,55.4,1535145600,NO,8.05,93,40
66,losevo,51.73,38.83,51.8,1535144400,RU,5.95,71,0
67,ushuaia,-54.81,-68.31,42.8,1535144400,AR,10.29,70,75
68,deniliquin,-35.53,144.96,40.7,1535147361,AU,6.62,83,0
69,yellowknife,62.45,-114.38,57.2,1535144400,CA,4.7,41,75
70,prince rupert,54.32,-130.32,60.8,1535146260,CA,3.36,72,90
71,samana,0.12,-76.97,89.6,1535144400,EC,4.7,49,40
72,bambous virieux,-20.34,57.76,71.6,1535144400,MU,16.11,73,75
73,iqaluit,63.75,-68.52,41.0,1535144400,CA,18.34,80,75
74,zhangye,38.94,100.46,52.85,1535147362,CN,6.29,74,0
75,cherskiy,68.75,161.3,38.27,1535147363,RU,5.06,95,92
76,tuatapere,-46.13,167.69,44.84,1535147363,NZ,12.77,100,92
77,maceio,-9.67,-35.74,77.0,1535144400,BR,10.29,73,40
78,hasaki,35.73,140.83,82.4,1535144400,JP,14.99,78,75
79,mollendo,-17.03,-72.02,62.66,1535147364,PE,4.38,79,8
80,grenville,45.62,-74.6,82.4,1535144400,CA,8.05,44,75
81,hilo,19.71,-155.08,75.92,1535147100,US,4.7,97,90
82,kodiak,39.95,-94.76,89.06,1535144400,US,13.87,65,20
83,victoria,5.28,115.24,80.6,1535146200,BN,2.24,94,90
84,aklavik,68.22,-135.01,53.6,1535144400,CA,6.93,58,75
85,saskylakh,71.97,114.09,39.71,1535147366,RU,2.93,87,0
86,butaritari,3.07,172.79,81.74,1535147366,KI,1.48,100,56
87,ostrovnoy,68.05,39.51,51.41,1535147366,RU,10.87,86,80
88,elizabeth city,36.3,-76.22,82.04,1535145300,US,11.88,47,1
89,albany,42.65,-73.75,84.02,1535144040,US,5.82,37,20
90,ponta do sol,-20.63,-46.0,78.68,1535147367,BR,6.51,38,20
91,hithadhoo,-0.6,73.08,82.19,1535147368,MV,3.38,100,68
92,kichera,55.93,110.1,56.36,1535147368,RU,4.5,100,92
93,chuy,-33.69,-53.46,53.66,1535147160,UY,15.46,98,88
94,bathsheba,13.22,-59.52,84.2,1535144400,BB,12.75,70,20
95,ulladulla,-35.36,150.48,48.2,1535144400,AU,10.65,100,75
96,carnarvon,-30.97,22.13,33.86,1535147369,ZA,5.95,38,0
97,fortuna,38.18,-1.13,80.6,1535146200,ES,4.7,88,0
98,fort nelson,58.81,-122.69,50.0,1535146440,CA,2.24,87,90
99,lazaro cardenas,28.39,-105.62,87.8,1535143920,MX,4.7,33,75
100,ilulissat,69.22,-51.1,53.6,1535143800,GL,17.22,32,40
101,grants,35.15,-107.85,69.8,1535145300,US,14.99,66,40
102,bridlington,54.08,-0.19,51.8,1535145600,GB,8.05,81,76
103,port alfred,-33.59,26.89,67.34,1535147370,ZA,18.25,77,0
104,madison,43.07,-89.38,66.92,1535146500,US,12.75,88,92
105,canton,40.8,-81.38,80.06,1535145420,US,4.7,45,1
106,pleshanovo,57.46,28.17,64.4,1535144400,RU,8.95,63,8
107,bilma,18.69,12.92,85.61,1535147372,NE,10.2,32,0
108,cururupu,-1.82,-44.87,81.2,1535147372,BR,9.98,72,32
109,cabo san lucas,22.89,-109.91,87.8,1535143440,MX,18.34,62,20
110,glenwood springs,39.55,-107.33,86.0,1535146140,US,2.93,41,90
111,kruisfontein,-34.0,24.73,59.78,1535147373,ZA,7.74,81,0
112,port hedland,-20.31,118.58,55.4,1535146200,AU,8.05,37,0
113,pangnirtung,66.15,-65.72,50.0,1535144400,CA,2.24,61,90
114,bagdarin,54.44,113.59,54.83,1535147374,RU,4.27,84,64
115,constitucion,23.99,-104.67,78.8,1535143500,MX,8.05,34,75
116,shetpe,44.14,52.16,56.99,1535147375,KZ,5.95,44,0
117,mount gambier,-37.83,140.78,34.4,1535147090,AU,2.37,81,0
118,karratha,-20.74,116.85,54.02,1535147089,AU,12.21,38,0
119,ancud,-41.87,-73.83,45.02,1535147376,CL,9.64,87,92
120,khatanga,71.98,102.47,50.24,1535147376,RU,11.65,83,0
121,shelburne,44.08,-80.2,80.6,1535144400,CA,8.05,44,20
122,okhotsk,59.36,143.24,58.79,1535147377,RU,5.73,100,92
123,olga,34.11,-118.17,91.94,1535144280,US,11.41,50,1
124,nador,35.17,-2.93,78.8,1535146200,MA,3.36,74,0
125,nagato,34.35,131.14,82.4,1535144400,JP,2.24,78,75
126,lata,30.78,78.62,59.06,1535147378,IN,1.59,100,56
127,sao felix do xingu,-6.64,-51.99,88.58,1535147379,BR,4.61,43,8
128,lingao,19.91,109.69,79.58,1535147379,CN,8.75,93,24
129,kapaa,22.08,-159.32,87.08,1535144160,US,23.04,87,75
130,islamkot,24.7,70.18,80.48,1535147380,PK,15.46,78,92
131,nikolskoye,59.7,30.79,66.2,1535144400,RU,8.95,68,0
132,mahebourg,-20.41,57.7,71.6,1535144400,MU,16.11,73,75
133,bunia,1.56,30.25,58.34,1535147381,CD,2.82,91,32
134,bermeo,43.42,-2.72,66.2,1535146200,ES,2.24,88,75
135,labuhan,-2.54,115.51,69.41,1535147382,ID,1.59,96,12
136,mayo,63.59,-135.9,50.0,1535145240,CA,2.24,93,90
137,goderich,43.74,-81.71,74.99,1535147382,CA,15.57,68,64
138,lavrentiya,65.58,-170.99,45.83,1535147383,RU,2.71,97,56
139,haines junction,60.75,-137.51,56.27,1535147383,CA,3.04,48,36
140,sarkand,45.41,79.91,65.54,1535147383,KZ,10.54,31,8
141,provideniya,64.42,-173.23,46.64,1535147384,RU,6.29,100,92
142,oudtshoorn,-33.59,22.2,51.8,1535144400,ZA,4.7,66,0
143,coruripe,-10.12,-36.18,76.79,1535147384,BR,15.12,99,92
144,jati,24.35,68.27,79.22,1535147385,PK,15.01,84,92
145,bredasdorp,-34.53,20.04,48.2,1535144400,ZA,4.7,93,0
146,san quintin,17.54,120.52,75.2,1535144400,PH,9.17,100,90
147,avera,33.19,-82.53,87.98,1535146500,US,5.82,42,1
148,orhei,47.39,28.83,60.8,1535146200,MD,2.24,63,0
149,srednekolymsk,67.46,153.71,43.76,1535147386,RU,4.16,86,92
150,oneonta,42.45,-75.06,75.71,1535147151,US,3.15,56,0
151,atbasar,51.81,68.36,50.78,1535147386,KZ,8.63,90,56
152,sur,22.57,59.53,84.71,1535147386,OM,5.5,91,24
153,balagansk,54.01,103.05,49.43,1535147387,RU,2.15,89,0
154,severo-kurilsk,50.68,156.12,49.43,1535147387,RU,4.72,100,44
155,cockburn town,21.46,-71.14,84.26,1535147387,TC,18.14,95,56
156,tabuk,17.41,121.44,70.76,1535147388,PH,3.27,87,88
157,grindavik,63.84,-22.43,51.8,1535144400,IS,10.29,87,75
158,itarema,-2.92,-39.92,82.64,1535147388,BR,15.57,57,0
159,gambo,11.96,9.63,71.21,1535147389,NG,9.31,94,92
160,tiznit,29.7,-9.73,70.67,1535147389,MA,4.83,89,8
161,mar del plata,-46.43,-67.52,48.89,1535147389,AR,14.67,48,24
162,shepsi,44.04,39.15,78.5,1535147389,RU,2.37,100,0
163,lebu,8.96,38.73,53.6,1535144400,ET,6.93,93,40
164,takoradi,4.89,-1.75,75.71,1535147390,GH,8.08,93,92
165,madang,-5.21,145.81,74.54,1535147390,PG,2.93,100,80
166,hitoyoshi,32.2,130.77,77.0,1535145000,JP,5.82,100,75
167,khani,41.96,42.96,71.6,1535144400,GE,1.12,94,32
168,tananger,58.94,5.59,55.4,1535145600,NO,8.05,93,40
169,boyolangu,-8.09,111.9,62.12,1535147391,ID,4.38,91,0
170,yumen,40.29,97.04,58.79,1535147391,CN,4.27,57,0
171,verkhnyaya inta,65.99,60.32,52.49,1535147391,RU,4.72,100,92
172,westport,53.8,-9.52,48.2,1535142600,IE,9.17,93,75
173,dongsheng,29.72,112.52,71.93,1535147392,CN,6.4,79,0
174,sokolo,14.74,-6.12,82.91,1535147392,ML,2.82,73,0
175,eyl,7.98,49.82,75.53,1535147392,SO,24.29,81,80
176,victor harbor,-35.55,138.62,42.8,1535146200,AU,2.26,87,0
177,talnakh,69.49,88.39,50.33,1535147393,RU,6.62,72,0
178,kazerun,29.62,51.65,69.5,1535147393,IR,0.81,40,0
179,denpasar,-8.65,115.22,69.8,1535146200,ID,4.7,83,20
180,paranaiba,-19.68,-51.19,86.96,1535147394,BR,11.21,41,56
181,choix,26.71,-108.33,88.49,1535147394,MX,2.48,59,8
182,luderitz,-26.65,15.16,52.31,1535147394,NA,7.4,93,76
183,georgetown,6.8,-58.16,82.4,1535144400,GY,9.17,78,20
184,lubango,-14.92,13.49,56.54,1535147395,AO,2.15,96,0
185,riverton,43.02,-108.38,84.92,1535146500,US,8.05,11,1
186,ambrolauri,42.52,43.15,71.6,1535144400,GE,1.12,94,0
187,inhambane,-23.87,35.38,70.4,1535147396,MZ,8.75,98,0
188,hobyo,5.35,48.53,74.09,1535147396,SO,20.04,83,8
189,belonia,23.25,91.45,79.31,1535147396,IN,7.85,94,88
190,puerto escondido,15.86,-97.07,86.0,1535143500,MX,11.41,70,75
191,celestun,20.87,-90.4,82.73,1535147397,MX,6.51,100,8
192,anadyr,64.73,177.51,53.75,1535147397,RU,5.06,93,76
193,pundaguitan,6.37,126.17,75.26,1535147397,PH,1.03,100,88
194,bintulu,3.17,113.03,77.0,1535144400,MY,3.36,100,75
195,gayny,60.3,54.33,45.29,1535147397,RU,7.96,92,0
196,mount isa,-20.73,139.49,59.0,1535146200,AU,13.87,28,0
197,coihaique,-45.58,-72.07,42.8,1535144400,CL,4.7,56,90
198,sao filipe,14.9,-24.5,78.68,1535147398,CV,5.61,95,48
199,aketi,2.74,23.78,71.66,1535147398,CD,2.15,96,24
200,beringovskiy,63.05,179.32,50.51,1535147399,RU,3.04,100,64
201,samarai,-10.62,150.67,74.18,1535147399,PG,10.54,100,92
202,san cristobal,-0.39,-78.55,64.4,1535144400,EC,13.87,39,75
203,new norfolk,-42.78,147.06,46.4,1535146200,AU,13.87,70,0
204,havre-saint-pierre,50.23,-63.6,60.8,1535144400,CA,12.75,67,20
205,luwuk,-0.95,122.79,74.9,1535147400,ID,2.71,100,68
206,bandarbeyla,9.49,50.81,75.89,1535147400,SO,34.58,92,24
207,biloela,-24.4,150.51,52.85,1535147400,AU,7.29,81,0
208,faanui,-16.48,-151.75,79.22,1535147401,PF,12.44,100,48
209,umm lajj,25.02,37.27,80.39,1535147401,SA,4.72,95,0
